Data_Hash	Braid_ID	Signed	MIME_Type	Attribued_To	Created_At
8f7199e017ced2b18af92792394bfda428eccac258cfc29e1200dc2aef4b32c5	urn:braid:8f7199e017ced2b18af92792394bfda428eccac258cfc29e1200dc2aef4b32c5	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500680177449489
2d88dec3a5ca3eecd45809f5d5096217e290e3dbdf73ed35a0799214ac9a6caf	urn:braid:2d88dec3a5ca3eecd45809f5d5096217e290e3dbdf73ed35a0799214ac9a6caf	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500673194359491
01cb4e0566e49f28565522b8a7563af243aa3c18c892aae5e4d0f2b451c5acda	urn:braid:01cb4e0566e49f28565522b8a7563af243aa3c18c892aae5e4d0f2b451c5acda	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500673140650346
00a9cf33d57bac2751ef5a5ca63374ab3b6e8f304ec7e382ba07331c1649348a	urn:braid:00a9cf33d57bac2751ef5a5ca63374ab3b6e8f304ec7e382ba07331c1649348a	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500671409205182
3c843dbe589aba242c281b3c5385b482586c0ef51de311f77f739359388c8658	urn:braid:3c843dbe589aba242c281b3c5385b482586c0ef51de311f77f739359388c8658	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786500671095337569
cfbd7bd36c666253d6a7b320e068cac7138afdb57cd59dc0e59e4445f2314295	urn:braid:cfbd7bd36c666253d6a7b320e068cac7138afdb57cd59dc0e59e4445f2314295	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499873570073484
5bd50fb7cc2b7d119c3493bf03c1e111402840c62cacda3241f36d99145ab061	urn:braid:5bd50fb7cc2b7d119c3493bf03c1e111402840c62cacda3241f36d99145ab061	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499873514882742
3539a4d2fa84cb30f29d210930a12c75a628bafbb335d17b2a23c4c01e75acd2	urn:braid:3539a4d2fa84cb30f29d210930a12c75a628bafbb335d17b2a23c4c01e75acd2	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499858587757708
baa9bd57b0ad031bf6b7c2d7b453bc67e49fe1977290e8dc9007b32e4ff9e389	urn:braid:baa9bd57b0ad031bf6b7c2d7b453bc67e49fe1977290e8dc9007b32e4ff9e389	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499847099250250
d4363ca78a306eeb4ebc2a8547cfd98dcc8e585afc68105ad0b38c77b0eeacdd	urn:braid:d4363ca78a306eeb4ebc2a8547cfd98dcc8e585afc68105ad0b38c77b0eeacdd	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499700233785483
9dcdcf0d3427313410f38b2d80efb00288e0cbe0c6f71342513755c3ae82162e	urn:braid:9dcdcf0d3427313410f38b2d80efb00288e0cbe0c6f71342513755c3ae82162e	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499668693494576
7214d6998154eba2b2bd4f4ce452517c5f1e9e43cf6d98ae2814975ca24142e8	urn:braid:7214d6998154eba2b2bd4f4ce452517c5f1e9e43cf6d98ae2814975ca24142e8	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499632925086203
e398b4da8c0b95539f307ec06fa42c198118c977f5b7fe5cdce34a4bdeee92d2	urn:braid:e398b4da8c0b95539f307ec06fa42c198118c977f5b7fe5cdce34a4bdeee92d2	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499632509036307
c24459f08f3e97658c780bec08a3e973b64e4a12c0f1c5da64dc0109844f358f	urn:braid:c24459f08f3e97658c780bec08a3e973b64e4a12c0f1c5da64dc0109844f358f	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499631354247930
6a87863142e3216c45859cd470a033c7a3fca9112f75723c8fb01102eefa7bd0	urn:braid:6a87863142e3216c45859cd470a033c7a3fca9112f75723c8fb01102eefa7bd0	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499630869396897
000f21a061a572d4b048b9c1e0d09433d9eab286be6fec353399ce15ff40b6a3	urn:braid:000f21a061a572d4b048b9c1e0d09433d9eab286be6fec353399ce15ff40b6a3	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499630791238486
98f39733d61e143204bbf0a83cafbd7b58980faf627e60cb66cc533f644cc0e3	urn:braid:98f39733d61e143204bbf0a83cafbd7b58980faf627e60cb66cc533f644cc0e3	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499627986312291
1df99ac4af4fc78e8b2a9b6b69ad7d4880e8f6a78a9531e89099ef569283b2a1	urn:braid:1df99ac4af4fc78e8b2a9b6b69ad7d4880e8f6a78a9531e89099ef569283b2a1	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499627731027248
b2e1417702cce62a653c612cc0d17bb8ea3fc9d373f941d07a3297394c023759	urn:braid:b2e1417702cce62a653c612cc0d17bb8ea3fc9d373f941d07a3297394c023759	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499627272719361
f22a4c1bdbc3ebbbd683f45ff8304703a391549ebd28e4be078e62733736060e	urn:braid:f22a4c1bdbc3ebbbd683f45ff8304703a391549ebd28e4be078e62733736060e	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499627019121436
37a0ae5dec939d1cd3bfedd66c653652052b3e7b278928d32e09a5c432662163	urn:braid:37a0ae5dec939d1cd3bfedd66c653652052b3e7b278928d32e09a5c432662163	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499626961136960
767295eccdb9cc3920ef7df386c11fb6aa9902be102e5f645edc1c4675885b06	urn:braid:767295eccdb9cc3920ef7df386c11fb6aa9902be102e5f645edc1c4675885b06	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499626780512862
9ae088f6159ecb635877c5098e873a89248187c426b06403a3286da5cdd9cac3	urn:braid:9ae088f6159ecb635877c5098e873a89248187c426b06403a3286da5cdd9cac3	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499626543364406
368b36f475a980810b846dd57950934ad34e15d4a916b587a8045e8b10e390b1	urn:braid:368b36f475a980810b846dd57950934ad34e15d4a916b587a8045e8b10e390b1	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499625925152699
23995a9092819fb4b7b64df8dcc8db328b982b052d3266bd4922169b035ba478	urn:braid:23995a9092819fb4b7b64df8dcc8db328b982b052d3266bd4922169b035ba478	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499625868824131
21bb630eaa6e05f0b5dd5d80325da104d284d7244a9f465b9ea8f920e839d4f8	urn:braid:21bb630eaa6e05f0b5dd5d80325da104d284d7244a9f465b9ea8f920e839d4f8	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499625714681129
4a75dcad1672f03015980fdc6418001c87e761f040e4c9b5eb337b02af7fd9cc	urn:braid:4a75dcad1672f03015980fdc6418001c87e761f040e4c9b5eb337b02af7fd9cc	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499572915220007
b7957a361e68542f509c3784ab85dc9e1863648e3d95fd34c728031ee3eb0138	urn:braid:b7957a361e68542f509c3784ab85dc9e1863648e3d95fd34c728031ee3eb0138	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499572803553577
535752847cf4858a57c393e1586e08806716efcabe16754eeb00fb4ce6f29bb5	urn:braid:535752847cf4858a57c393e1586e08806716efcabe16754eeb00fb4ce6f29bb5	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499572741350171
28ffa6cb1f9847aaa28ef3a6a030d154ba48a16b355e3088e6770deca7725eef	urn:braid:28ffa6cb1f9847aaa28ef3a6a030d154ba48a16b355e3088e6770deca7725eef	true	application/x-chunked-braid	did:primal:e867f89e-cafc-4431-9e5e-7ff78a43747e	1786499572597424737
